'Judy Schwomeyer', 2, 1, 1, 7, 1
'James Sladky', 2, 1, 4, 7, 1
'Judy Blumberg', 2, 1, 0, 6, 1
'Michael Seibert', 2, 1, 3, 6, 1
'Naomi Lang', 2, 1, 0, 6, 1
'Peter Tchernyshev', 2, 1, 3, 6, 1
'Tanith Belbin', 2, 1, 1, 11, 1
'Ben Agosto', 2, 1, 4, 11, 1
'Paul Pierce', 2, 1, 3, 15, 1
'Kevin Garnett', 2, 1, 6, 15, 1
'Pierce', 1, 1, 0, 4, 1
'Garnett', 1, 1, 1, 5, 1
'Avery Bradley', 2, 1, 2, 18, 1
'Beth', 1, 1, 2, 13, 1
'McGraw', 1, 1, 1, 3, 1
'Diggins', 1, 1, 3, 9, 1
'Kayla McBride', 2, 1, 5, 19, 1
'Diggins', 1, 1, 0, 10, 1
'Diggins', 1, 1, 1, 3, 1
'Diggins', 1, 1, 1, 12, 1
'Diggins', 1, 1, 3, 19, 1
'Catchings', 1, 1, 0, 7, 1
'Pardew', 1, 1, 8, 32, 1
'Mathieu Debuchy', 2, 1, 30, 32, 1
'Irving', 1, 1, 1, 5, 1
'Davis', 1, 1, 1, 11, 1
'White', 1, 1, 3, 11, 1
'Tessa Virtue', 2, 1, 4, 14, 1
'Scott Moir', 2, 1, 7, 14, 1
'Virtue', 1, 1, 1, 11, 1
'Moir', 1, 1, 3, 11, 1
'McCoughtry', 1, 1, 0, 17, 1
'Patrick Marleau', 2, 1, 4, 21, 1
'Marleau', 1, 1, 0, 17, 1
'Rory McIlroy', 2, 1, 1, 36, 1
'Tiger Woods', 2, 1, 7, 36, 1
'Perri Shakes-Drayton', 2, 1, 0, 10, 1
'Eilidh Child', 2, 1, 4, 10, 1
'Shana Cox', 2, 1, 2, 5, 1
'Christine Ohuruogu', 2, 1, 7, 13, 1
'Peter Eriksson', 2, 1, 6, 35, 1
"O'Neal", 1, 1, 1, 5, 1
'Buss', 1, 1, 4, 5, 1
'Johnson', 1, 1, 1, 23, 1
'Johnson', 1, 1, 9, 18, 1
'Johnson', 1, 1, 1, 3, 1
'Ken Rosenthal', 2, 1, 0, 10, 1
'Shaun Marcum', 2, 1, 5, 7, 1
'White', 1, 1, 1, 10, 1
'Johnson', 1, 1, 1, 2, 1
'Johnson', 1, 1, 1, 3, 1
'Natalie Achonwa', 2, 1, 0, 16, 1
'Jewell Loyd', 2, 1, 12, 16, 1
'Diggins', 1, 1, 0, 12, 1
'Diggins', 1, 1, 7, 24, 1
'Lexi Sells', 2, 1, 9, 24, 1
'Demetrious Johnson', 2, 1, 6, 20, 1
'Johnson', 1, 1, 2, 3, 1
'Johnson', 1, 1, 7, 12, 1
'Johnson', 1, 1, 1, 4, 1
'Johnson', 1, 1, 1, 2, 1
'John Dodson', 2, 1, 8, 10, 1
'Buss', 1, 1, 20, 21, 1
'Buss', 1, 1, 25, 32, 1
'Buss', 1, 1, 2, 11, 1
'Johnson', 1, 1, 0, 13, 1
'Johnson', 1, 1, 1, 3, 1
'Marleau', 1, 1, 0, 10, 1
'Brad Stuart', 2, 1, 2, 5, 1
'Patty', 1, 1, 3, 19, 1
'Marleau', 1, 1, 3, 27, 1
"Ryan O'Byrne", 2, 1, 7, 27, 1
'Stuart', 1, 1, 17, 27, 1
'Gabriel Landeskog', 2, 1, 21, 27, 1
'McGraw', 1, 1, 1, 3, 1
'Tori', 1, 1, 0, 8, 1
'Symone Roberts', 2, 1, 0, 2, 1
'McGraw', 1, 1, 1, 3, 1
'Susan Robinson Fruchti', 3, 1, 2, 17, 1
'Erik Spoelstra', 2, 1, 1, 11, 1
'Gregg Popovich', 2, 1, 3, 20, 1
'Vinny Del Negro', 3, 1, 8, 20, 1
'Scott Brooks', 2, 1, 18, 20, 1
'Irving', 1, 1, 0, 1, 1
'Irving', 1, 1, 0, 8, 1
'James', 1, 1, 7, 8, 1
'Davis', 1, 1, 1, 3, 1
'Fabricio Coloccini', 2, 1, 2, 23, 1
'Alan Pardew', 2, 1, 1, 16, 1
'Coloccini', 1, 1, 5, 16, 1
'Catchings', 1, 1, 0, 6, 1
'Shavonte Zellous', 2, 1, 2, 9, 1
'Emily Seebohm', 2, 1, 0, 28, 1
'Catchings', 1, 1, 1, 17, 1
'Catchings', 1, 1, 0, 5, 1
'Denny Hamlin', 2, 1, 2, 14, 1
'Stephanie Ready', 2, 1, 9, 14, 1
'Denny Hamlin', 2, 1, 2, 31, 1
'Andre Aldridge', 2, 1, 24, 26, 1
'Allardyce', 1, 1, 2, 18, 1
'Gold', 1, 1, 1, 35, 1
'Di Canio', 2, 1, 10, 35, 1
'Allardyce', 1, 1, 23, 35, 1
'Madison Chock', 2, 1, 6, 12, 1
'Evan Bates', 2, 1, 9, 12, 1
'Maia', 1, 1, 0, 16, 1
'Alex Shibutani', 2, 1, 2, 16, 1
'Marissa Castelli', 2, 1, 0, 15, 1
'Simon Shnapir', 2, 1, 3, 15, 1
'Davis', 1, 1, 1, 3, 1
'Marcum', 1, 1, 1, 7, 1
'Marcum', 1, 1, 0, 1, 1
'Johan Santana', 2, 1, 2, 14, 1
'Jon Niese', 2, 1, 5, 14, 1
'Dillon Gee', 2, 1, 9, 14, 1
'Matt Harvey', 2, 1, 12, 14, 1
'Marcum', 1, 1, 0, 9, 1
'Jon Heyman', 2, 1, 8, 12, 1
'Fernando Torres', 2, 1, 0, 15, 1
'Rafa Benitez', 2, 1, 2, 12, 1
'David Luiz', 2, 1, 14, 24, 1
"O'Neal", 1, 1, 0, 26, 1
'Buss', 1, 1, 2, 26, 1
'Kobe Bryant', 2, 1, 0, 2, 1
"O'Neal", 1, 1, 1, 5, 1
"O'Neal", 1, 1, 0, 5, 1
'Bryant', 1, 1, 2, 5, 1
'Seimone Augustus', 2, 1, 0, 27, 1
'Augustus', 1, 1, 0, 32, 1
'Lauren Jackson', 2, 1, 3, 27, 1
'Jackson', 1, 1, 5, 6, 1
'Jackson', 1, 1, 0, 10, 1
'Jackson', 1, 1, 0, 14, 1
'Johnson', 1, 1, 6, 44, 1
'Joseph Benavidez', 2, 1, 9, 44, 1
'Benavidez', 1, 1, 3, 25, 1
'Dana White', 2, 1, 2, 16, 1
'Buss', 1, 1, 0, 2, 1
'Johnson', 1, 1, 5, 13, 1
'Buss', 1, 1, 4, 9, 1
'Johnson', 1, 1, 1, 3, 1
'Meadows', 1, 1, 2, 3, 1
'Nigel Levine', 2, 1, 0, 13, 1
'Mukhtar Mohammed', 2, 1, 8, 13, 1
'Djokovic', 1, 1, 0, 26, 1
'Novak Djokovic', 2, 1, 0, 11, 1
'Andy Murray', 2, 1, 7, 11, 1
